"block","maxima"
1,0.946952267874168
2,0.949999728954129
3,0.949758524831102
4,0.949156705214043
5,0.949149378740101
6,0.949769647849174
7,0.949532344113465
8,0.949255194403752
9,0.949863482741409
10,0.949589400532818
11,0.949998577056937
12,0.949340720463104
13,0.949142214912284
14,0.94945825941457
15,0.949237852453739
16,0.949741392532005
17,0.94990279460969
18,0.949999908314434
19,0.949986512907355
20,0.945282502803768
21,0.94999957177867
22,0.948852995815049
23,0.949573826594347
24,0.947419412548078
25,0.947448830261097
26,0.9497408122791
27,0.949277128913801
28,0.942411704335608
29,0.948761312274573
30,0.948187882411999
31,0.949410235615842
32,0.949910413393135
33,0.948055253454073
34,0.944931682514872
35,0.949526816670696
36,0.948817835554846
37,0.946644751158397
38,0.948963351123484
39,0.94896999398874
40,0.940054864055531
41,0.949861893410619
42,0.949905357495745
43,0.949995534999021
44,0.948596455078331
45,0.94781002451994
46,0.94851446496384
47,0.948748182471443
48,0.949997227067792
49,0.948880930626852
50,0.949251715484741
51,0.948971840971805
52,0.949969775504482
53,0.947075772357184
54,0.946263071484509
55,0.948363333575848
56,0.947883277371104
57,0.949283976683762
58,0.945063558244576
59,0.949908038383525
60,0.948220371520706
61,0.947427486496038
62,0.943073572338538
63,0.949844700944406
64,0.948004576687547
65,0.947730351872617
66,0.949940604912386
67,0.949403618201436
68,0.949946685936291
69,0.949994188729793
70,0.949052220792392
71,0.945447173913165
72,0.947107718459787
73,0.947228100118482
74,0.949751851518151
75,0.949825653745102
76,0.942650775277286
77,0.946295835086941
78,0.949113801170492
79,0.949365780042293
80,0.945941970671373
81,0.94813917905169
82,0.948151646265892
83,0.949296114799341
84,0.949673907328157
85,0.949453767075423
86,0.944644732161181
87,0.948224961333247
88,0.949905869274207
89,0.947752074858364
90,0.949992347595633
91,0.948554496500492
92,0.949638877564422
93,0.949978616255744
94,0.948063563249684
95,0.949964088084691
96,0.949749263354979
97,0.949480750091519
98,0.949358906106868
99,0.949938863880588
